CH4,H2,C2H4,C2H6,Mg,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,La,Ce,Pr,Nd,Sm,Gd,BI,PE,RS,SP
0.1379181496162246,5583.4181,14.4337,10.922699999999999,0.14355325237837419,0.16861319514270245,0.0,0.1413102328099621,0.0,0.14943151055766107,0.24619073400881739,0.0,0.1509010751024828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.07524342054181198,3450.9761,33.3841,15.1427,0.15610021786492373,0.16132897603485838,0.0,0.14651416122004354,0.0,0.15076252723311545,0.16862745098039214,0.0,0.21666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2886181085632699,8093.0680999999995,8.0593,10.2627,0.0,0.0,0.10048158271508523,0.10061174020564882,0.10334504750748404,0.09397370818690615,0.09410386567746973,0.0,0.0,0.0,0.507484055707406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.2907089907804291,7899.1406,7.7713,10.2027,0.0,0.0,0.1384594146880177,0.09428492545554942,0.09538928768636114,0.0853119823302043,0.08503589177250138,0.0,0.0,0.0,0.501518498067366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.26290891385356174,7691.5241,8.1745,9.0227,0.0,0.0,0.09432447619812154,0.13711166412458858,0.0985791121457815,0.0835674721040379,0.0834069198041262,0.0,0.0,0.0,0.5030103556233443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.29905019935229354,8635.3046,8.2513,9.982700000000001,0.0,0.0,0.09495628782784128,0.09065232010759919,0.1479488903833221,0.08661735036987221,0.08244788164088769,0.0,0.0,0.0,0.49737726967047746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.22123063841857382,6516.5516,7.1377,8.9427,0.0,0.0,0.08814252834370472,0.08984741283778024,0.0964964623646748,0.13587929417781944,0.08942119171426136,0.0,0.0,0.0,0.5002131105617595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.22284119055606544,6702.1136,8.3281,12.4027,0.0,0.0,0.09014903671392221,0.09651035986913852,0.09960014540167214,0.08896764812795349,0.12822609960014542,0.0,0.0,0.0,0.49654671028716835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.07386312457401382,2507.1955999999996,25.531299999999998,47.2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20297987616099067,0.20710784313725486,0.20362487100103197,0.19420794633642927,0.0,0.19207946336429307,0.0,1.0,0.0,0.0,0.0
0.07932112350176194,2638.0015999999996,33.1345,53.6227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18328406342381082,0.18798710024187046,0.27143241064230045,0.17925288900833108,0.0,0.17804353668368716,0.0,1.0,0.0,0.0,0.0
0.0979802963060778,3455.5390999999995,29.544099999999997,46.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18284106891701826,0.2792545710267229,0.1890998593530239,0.17292545710267226,0.0,0.17587904360056258,0.0,1.0,0.0,0.0,0.0
